Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Workforce:Number of participants:,Business:Number of participants:,CAC/CDCAB members:Number of participants:,Civic/church group members:Number of participants:,CSEPP Immediate Reaction Zone residents:Number of participants:,Elected officials:Number of participants:,Emergency management:Number of participants:,Local schools:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,CSEPP Protective Action Zone residents:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
1,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Farristown Middle School,10/14/16,Education Outreach Event,,,,,,,,,14,,,,,0,0,0
2,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Richmond Lions Club,10/13/16,Tour,,2,,,8,,,,,,,,,0,1,1
3,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Blue Grass Chemical Activity Managers,10/11/16,Tour,,15,,,,,,,,,,,,0,0,0
4,Individual contact,Team Member 1,10/13/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Individual contact,Team Member 2,10/12/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Individual contact,Team Member 2,10/13/16,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Individual contact,Team Member 2,10/12/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Individual contact,Team Member 2,10/10/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Individual contact,Team Member 3,10/10/16,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Telephone,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Social media submission,,,,,,,,,,,,,,10/16/2016 - 10/31/2016,9,9,,,,,,,,,,,,,,,,,,,,,,,,
