Stand-alone Card or Feedback Form?,Date,Location ,Addressed Questions/ Concerns,Activities Increased Awareness,Satisfied with Program,Accurate Information,ACWA is open/shares with public,Aware of current developments/progress,Information easy to understand,Information easily accessible,Offers Ops. For Involvement
Feedback Form,10/20/16,8,1,1,1,1,1,1,1,1,1
Feedback Form,10/27/16,4,2,2,2,2,2,2,2,2,2
Feedback Form,10/27/16,4,2,2,2,2,2,2,2,2,2
Feedback Form,10/27/16,4,1,1,1,1,1,2,2,2,2
Feedback Form,10/27/16,4,1,1,1,1,1,1,1,2,2
Feedback Form,10/26/16,4,1,1,1,1,1,1,1,1,1
Feedback Form,10/27/16,4,1,1,1,1,1,1,1,1,1
Feedback Form,10/27/16,4,2,1,2,1,1,2,2,3,3
Feedback Form,10/27/16,4,1,1,1,1,1,2,1,1,1
Feedback Form,10/27/16,4,1,1,1,1,1,1,1,1,2
Feedback Form,10/27/16,4,1,2,1,1,1,2,2,2,2
Feedback Form,10/27/16,4,3,1,1,3,2,2,4,2,2
Feedback Form,10/26/16,4,2,1,2,2,2,2,2,2,2
Feedback Form,10/27/16,4,2,2,2,2,2,2,2,2,2
Feedback Form,10/27/16,4,2,1,1,1,1,1,2,2,2
Feedback Form,10/27/16,4,1,1,1,1,1,1,1,1,1
Feedback Form,10/27/16,4,1,1,2,          - ,1,2,1,          -,1
Feedback Form,10/27/16,4,3,1,2,2,2,2,3,3,3
Feedback Form,10/27/16,4,1,1,1,1,1,1,2,1,1
Feedback Form,10/27/16,4,1,1,1,1,1,1,2,1,2
Feedback Form,10/27/16,4,1,1,1,1,1,1,1,1,1
Feedback Form,10/26/16,4,4,1,1,1,1,1,2,2,3
Feedback Form,10/27/16,4,3,2,3,2,2,2,2,1,2
Feedback Form,10/31/16,8,1,1,1,1,1,1,1,1,1
Feedback Form,10/31/16,8,1,1,1,1,1,1,1,1,1
Feedback Form,10/31/16,8,1,1,1,1,1,1,1,1,1
Feedback Form,12/6/16,4,1,1,1,          -,1,1,1,1,3
Feedback Form,12/6/16,4,1,1,1,1,1,1,1,1,1
Feedback Form,12/6/16,4,2,1,1,1,1,2,2,1,1
Feedback Form,12/6/16,4,2,2,2,2,2,2,2,2,2
