Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,Method of interaction:,Stakeholder type:,"Other, please specify::Stakeholder type:",Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify)::Event or distribution type:,"Army/DoD partners (includes CMA, AASC, Depot commanders):Number of participants:",Citizens' Advisory Commission members:Number of participants:,Congress and congressional staffers:Number of participants:,"Emergency Management (e.g. CSEPP, FEMA, etc.):Number of participants:",International community members:Number of participants:,Local community members:Number of participants:,Local elected officials:Number of participants:,Media:Number of participants:,Oversight agency members:Number of participants:,PEO ACWA Workforce members:Number of participants:,Regulatory agency members:Number of participants:,Other:Number of participants:,Date range of posting(s):,Facebook posts:Number of social media posting(s):,Tweets:Number of social media posting(s):,Instagram posts:Number of social media posting(s):,HQ Video:Number of social media posting(s):,Digital shorts:Number of social media posting(s):,"Digital communications (Flickr, Website updates and YouTube Uploads):Number of social media posting(s):",Name of video (if applicable):
1,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,10/17/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
2,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,10/11/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
3,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,10/3/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
4,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,10/19/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
5,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,10/6/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
8,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,10/12/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
9,Individual contact,PEO/Management,10/12/16,"Name, Title",Telephone,Congress and congressional staffer,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/7/16,,,,,,1,Website Article: Colorado Man Continues Family Legacy of Depot Work
11,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/14/16,,,,,,1,Website Article: Packaged Munitions Require Special Handling
12,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,10/24/16,Weekly news summary,,13,,,2,,,,,5,29,2,,MM/DD/2016 or MM/DD/2016 - MM/DD/2016,,,,,,,
14,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,10/26/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
15,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/28/16,,,,,1,,PCAPP October Slideshow
16,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/27/16,,,,,1,,BGCAPP October Slideshow
17,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/31/2016-11/01/2016,,,,1,,,Pilot Testing at Pueblo Plant
18,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/27/2016 - 11/01/2016,,,,,1,,Pilot Testing GIF Short
19,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,10/01/2016-10/31/2016,,,,,,3,YouTube Uploads
20,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,10/31/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
23,Event or information distribution,,,,,,,Team Member 2,Quarterly Brief 4QFY16,11/1/16,Other (please specify):,Quarterly Brief,35,,45,2,,,,,1,108,7,,,,,,,,,
25,Individual contact,Team Member 1,10/19/16,"Name, Title",Digital communication,"Other, please specify:",YouTube User,,,,,,,,,,,,,,,,,,,,,,,,,
