Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Business & economic development group members:Number of participants:,CAC/Working Group members:Number of participants:,Citizen board/commission members:Number of participants:,Community advocacy/Non-profit:Number of participants:,Elected and Government-appointed officials:Number of participants:,Emergency management:Number of participants:,Community members:Number of participants:,Education community:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,Workforce:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
1,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Colorado Bi-Monthly CSEPP IPT,10/12/16,Briefing/update,,,,,,,29,,,,,,,0,0,0
2,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Pueblo Community College,10/20/16,Education outreach event,,,,,,,,,30,,,,,,1,1
3,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,10/3/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
4,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,10/10/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
5,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,10/17/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,
6,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/3/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
7,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/4/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
8,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/5/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
9,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/6/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
10,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/10/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
11,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/11/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
12,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/12/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
13,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/13/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
14,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/17/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
15,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/18/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
16,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/18/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
17,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/19/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
18,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/20/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
19,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,10/24/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
20,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,PCC Scholarship Luncheon,10/4/16,Networking event,,99,,,,,,,50,,,1,,0,0,0
21,Individual contact,Team Member 1,10/4/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,CAC member,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message Distribution,10/13/16,Workforce event,,,,,,,,,,,,4,,4,0,0
23,Individual contact,Team Member 1,10/12/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,In-person,Elected official,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Media Tour,10/13/16,Media event,,,,,,,,,,1,,,,1,0,0
25,Individual contact,Team Member 1,10/11/16,"name lastname, titles",Don't know - did not ask,,No,Don't know,In-person,CAC member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Individual contact,Team Member 1,10/11/16,"name lastname, titles",Don't know - did not ask,,No,Don't know,In-person,CAC member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Individual contact,Team Member 1,10/12/16,"name lastname, titles",Don't know - did not ask,,No,Don't know,In-person,CAC member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Individual contact,Team Member 1,10/12/16,"name lastname, titles",Don't know - did not ask,,No,Don't know,In-person,CAC member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Individual contact,Team Member 1,10/11/16,"name lastname, titles",Don't know - did not ask,,No,Don't know,In-person,Oversight/regulatory agency member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Individual contact,Team Member 1,10/12/16,"name lastname, titles",Don't know - did not ask,,No,Don't know,In-person,Oversight/regulatory agency member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Part B Pre Application Public Meeting,10/11/16,Public meeting,,,2,,,,,,,,1,4,,3,0,0
32,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Part B Pre-Application Public Meeting,10/12/16,Public meeting,,,2,,,1,,5,,,2,4,,10,0,0
33,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Monthly Membership Meeting,10/11/16,Networking event,,14,,,,,,,29,5,,2,,0,0,0
34,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Pueblo Cooperative Care Center Board of Directors Meeting,10/20/16,Networking event,,,,,9,,,,,,,1,,0,0,0
35,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,10/11/16,Digital communications distribution,,,1,,,1,4,,,,15,45,,0,0,0
36,Individual contact,Team Member 2,10/14/16,"name lastname, titles",Don't know - did not ask,,No,The stakeholder,Digital communication,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Individual contact,Team Member 2,10/10/16,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Individual contact,Team Member 2,10/12/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Individual contact,Team Member 2,10/18/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Outreach office visitor/walk-in,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Individual contact,Team Member 2,10/24/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The stakeholder,Outreach office visitor/walk-in,Local community member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Transportation Technology Center Inc,10/27/16,Briefing/update,,,,,,,,33,,,,,,33,33,23
42,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,10/31/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
43,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/24/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
44,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/25/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
45,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/26/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
46,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/27/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
47,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Monthly Board Meeting,10/28/16,Networking event,,4,,,,,,2,,1,,1,,0,0,0
48,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome message to PCAPP employees,10/27/16,Information packet distribution,,,,,,,,,,,,7,,7,0,0
49,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Class 2 Permit Modification Public Meeting,10/26/16,Public meeting,,,3,,,,,4,,,,14,,14,0,0
50,Individual contact,Team Member 1,10/25/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Oversight/regulatory agency member,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (1),10/31/16,Education outreach event,,,,,,,,,22,,,,,o,1,1
52,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (2),10/31/16,Education outreach event,,,,,,,,,21,,,,,0,0,0
53,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (3),10/31/16,Education outreach event,,,,,,,,22,,,,,,0,1,1
